Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Mike Trout,LAA,36,117,146,39,22,8,1,8,73,37.39,23,18,27,5,41,2,0,0,0,2,0,0.333,0.466,0.624,1.090,0.538,1.074,18.50%,28.10%,190,0.451,2.3,10155
Bryce Harper,PHI,141,488,599,151,73,42,1,35,300,134.20,101,84,100,14,134,5,4,2,12,13,3,0.309,0.429,0.615,1.044,0.531,1.035,16.70%,22.40%,170,0.431,6.6,11579
Juan Soto,WSN,151,502,654,157,106,20,2,29,268,128.84,111,95,145,23,93,2,5,0,23,9,7,0.313,0.465,0.534,0.999,0.514,0.993,22.20%,14.20%,163,0.42,6.6,20123
Vladimir Guerrero Jr.,TOR,161,604,698,188,110,29,1,48,363,144.05,123,111,86,7,110,6,2,0,20,4,1,0.311,0.401,0.601,1.002,0.437,0.992,12.30%,15.80%,166,0.419,6.7,19611
Byron Buxton,MIN,61,235,254,72,30,23,0,19,152,57.27,50,32,13,0,62,6,0,0,0,9,1,0.306,0.358,0.647,1.005,0.430,1.014,5.10%,24.40%,169,0.419,4.2,14161
Ronald Acuna Jr.,ATL,82,297,360,84,40,19,1,24,177,76.69,72,52,49,2,85,9,5,0,0,17,6,0.283,0.394,0.596,0.990,0.515,0.996,13.60%,23.60%,157,0.412,4.2,18401
Brandon Belt,SFG,97,325,381,89,44,14,2,29,194,73.17,65,59,48,3,103,7,1,0,9,3,2,0.274,0.378,0.597,0.975,0.474,0.962,12.60%,27.00%,158,0.406,3.3,10264
Jesse Winker,CIN,110,423,485,129,72,32,1,24,235,91.74,77,71,53,1,75,9,0,0,14,1,0,0.305,0.394,0.556,0.949,0.378,0.944,10.90%,15.50%,148,0.403,3.2,13590
Frank Schwindel,- - -,64,242,259,79,44,20,1,14,143,51.98,44,43,16,2,41,1,0,0,4,2,1,0.326,0.371,0.591,0.962,0.335,0.957,6.20%,15.80%,152,0.403,2.1,15351
Fernando Tatis Jr.,SDP,130,478,546,135,62,31,0,42,292,112.11,99,97,62,6,153,2,4,0,5,25,4,0.282,0.364,0.611,0.975,0.502,0.989,11.40%,28.00%,156,0.403,6.1,19709
Yasmani Grandal,CHW,93,279,375,67,35,9,0,23,145,64.95,60,62,87,0,82,3,5,1,15,0,0,0.240,0.420,0.520,0.939,0.591,0.941,23.20%,21.90%,159,0.402,3.7,11368
Luis Robert,CHW,68,275,296,93,57,22,1,13,156,59.59,42,43,14,1,61,5,2,0,4,6,1,0.338,0.378,0.567,0.946,0.298,0.955,4.70%,20.60%,157,0.399,3.2,20043
Shohei Ohtani,LAA,158,537,639,138,58,26,8,46,318,122.21,103,100,96,20,189,4,2,0,7,26,10,0.257,0.372,0.592,0.965,0.544,0.964,15.00%,29.60%,152,0.393,5.1,19755
Kyle Schwarber,- - -,113,399,471,106,55,19,0,32,221,87.32,76,71,64,1,127,6,2,0,4,1,1,0.266,0.374,0.554,0.928,0.449,0.921,13.60%,27.00%,145,0.392,3.1,16478
Joey Votto,CIN,129,448,533,119,59,23,1,36,252,99.25,73,99,77,6,127,4,4,0,7,1,0,0.266,0.375,0.563,0.938,0.471,0.933,14.40%,23.80%,140,0.391,3.6,4314
Nick Castellanos,CIN,138,531,585,164,91,38,1,34,306,107.29,95,100,41,5,121,7,6,0,16,3,1,0.309,0.362,0.576,0.939,0.348,0.939,7.00%,20.70%,140,0.391,4.2,11737
Corey Seager,LAD,95,353,409,108,67,22,3,16,184,74.08,54,57,48,2,66,5,3,0,8,1,1,0.306,0.394,0.521,0.915,0.351,0.915,11.70%,16.10%,147,0.389,3.7,13624
