Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Vladimir Guerrero Jr.,TOR,161,604,698,188,110,29,1,48,363,175.55,123,111,86,7,110,6,2,0,20,4,1,0.311,0.401,0.601,1.002,0.437,0.992,12.30%,15.80%,166,0.419,6.7,19611
Brandon Belt,SFG,97,325,381,89,44,14,2,29,194,89.55,65,59,48,3,103,7,1,0,9,3,2,0.274,0.378,0.597,0.975,0.474,0.962,12.60%,27.00%,158,0.406,3.3,10264
Frank Schwindel,- - -,64,242,259,79,44,20,1,14,143,57.24,44,43,16,2,41,1,0,0,4,2,1,0.326,0.371,0.591,0.962,0.335,0.957,6.20%,15.80%,152,0.403,2.1,15351
Joey Votto,CIN,129,448,533,119,59,23,1,36,252,127.64,73,99,77,6,127,4,4,0,7,1,0,0.266,0.375,0.563,0.938,0.471,0.933,14.40%,23.80%,140,0.391,3.6,4314
Darin Ruf,SFG,117,262,312,71,40,13,2,16,136,70.08,41,43,46,2,87,3,1,0,8,2,0,0.271,0.385,0.519,0.904,0.431,0.907,14.70%,27.90%,144,0.384,2.5,9929
C.J. Cron,COL,142,470,547,132,72,31,1,28,249,117.46,70,92,60,3,117,13,4,0,11,1,0,0.281,0.375,0.53,0.905,0.379,0.905,11.00%,21.40%,127,0.383,2.3,12546
Freddie Freeman,ATL,159,600,695,180,122,25,2,31,302,152.52,120,83,85,15,107,8,2,0,11,8,3,0.3,0.393,0.503,0.896,0.353,0.901,12.20%,15.40%,135,0.379,4.5,5361
Max Muncy,LAD,144,497,592,124,60,26,2,36,262,130.94,95,94,83,5,120,11,1,0,7,2,1,0.249,0.368,0.527,0.895,0.447,0.893,14.00%,20.30%,140,0.379,4.9,13301
Matt Olson,OAK,156,565,673,153,79,35,0,39,305,146.89,101,111,88,12,113,9,11,0,17,4,1,0.271,0.371,0.54,0.911,0.43,0.916,13.10%,16.80%,146,0.379,5,14344
Paul Goldschmidt,STL,158,603,679,177,108,36,2,31,310,138.42,102,99,67,2,136,4,5,0,13,12,0,0.294,0.365,0.514,0.879,0.352,0.894,9.90%,20.00%,138,0.373,4.9,9218
Garrett Cooper,MIA,71,215,250,61,41,10,1,9,100,49.22,30,33,30,0,68,4,1,0,6,1,1,0.284,0.38,0.465,0.845,0.321,0.851,12.00%,27.20%,134,0.367,1.1,15279
Rhys Hoskins,PHI,107,389,443,96,40,29,0,27,206,84.25,64,71,47,0,108,5,2,0,7,3,2,0.247,0.334,0.53,0.864,0.406,0.863,10.60%,24.40%,127,0.364,2.3,16472
Yuli Gurriel,HOU,143,530,605,169,123,31,0,15,245,117.93,83,81,59,2,68,4,12,0,16,1,1,0.319,0.383,0.462,0.846,0.255,0.86,9.80%,11.20%,134,0.363,3.4,19198
Pete Alonso,NYM,152,561,637,147,80,27,3,37,291,116.26,81,94,60,6,127,12,4,0,20,3,0,0.262,0.344,0.519,0.863,0.369,0.867,9.40%,19.90%,133,0.363,3,19251
