"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","BB%","K%","wRC+","wOBA","WAR","playerid"
"Austin Riley","ATL","160","590","662","179","112","33","1","33","91","107","52","2","168","12","8","0","11","0","1",".303",".367",".531",".898","7.9%","25.4%","135",".379","4.2","18360"
"Rafael Devers","BOS","156","591","664","165","89","37","1","38","101","113","62","7","143","7","4","0","13","5","5",".279",".352",".538",".890","9.3%","21.5%","134",".373","4.7","17350"
"Jose Ramirez","CLE","152","552","636","147","74","32","5","36","111","103","72","10","87","7","5","0","13","27","4",".266",".355",".538",".893","11.3%","13.7%","137",".372","6.3","13510"
"Justin Turner","LAD","151","533","612","148","99","22","0","27","87","87","61","0","98","12","6","0","12","3","0",".278",".361",".471",".832","10.0%","16.0%","127",".358","4.0","5235"
"J.D. Davis","NYM","73","179","211","51","34","12","0","5","18","23","24","1","68","6","2","0","4","1","0",".285",".384",".436",".820","11.4%","32.2%","130",".357","1.6","16219"
"Kris Bryant","- - -","144","513","586","136","77","32","2","25","86","73","62","4","135","9","2","0","9","10","2",".265",".353",".481",".835","10.6%","23.0%","123",".356","3.6","15429"
"Josh Donaldson","MIN","135","457","543","113","61","26","0","26","73","72","74","2","114","4","8","0","22","0","0",".247",".352",".475",".827","13.6%","21.0%","124",".353","2.2","5038"
"Evan Longoria","SFG","81","253","291","66","36","17","0","13","45","46","35","4","68","1","2","0","9","1","1",".261",".351",".482",".833","12.0%","23.4%","123",".352","1.7","9368"
"Manny Machado","SDP","153","564","640","157","96","31","2","28","92","106","63","10","102","2","11","0","10","12","3",".278",".347",".489",".836","9.8%","15.9%","122",".350","4.4","11493"
"Yoan Moncada","CHW","144","520","616","137","89","33","1","14","74","61","84","1","157","10","2","0","6","3","2",".263",".375",".412",".787","13.6%","25.5%","122",".347","4.5","17232"
"Patrick Wisdom","CHC","106","338","375","78","37","13","0","28","54","61","32","1","153","4","0","0","7","4","1",".231",".305",".518",".823","8.5%","40.8%","115",".346","2.3","13602"
"Jeimer Candelario","DET","149","557","626","151","90","42","3","16","75","67","65","1","135","4","0","0","10","0","0",".271",".351",".443",".795","10.4%","21.6%","119",".344","3.2","13621"
