"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","BB%","K%","wRC+","wOBA","WAR","playerid"
"Jesse Winker","CIN","110","423","485","129","72","32","1","24","77","71","53","1","75","9","0","0","14","1","0",".305",".394",".556",".949","10.9%","15.5%","148",".403","3.2","13590"
"Kyle Schwarber","- - -","113","399","471","106","55","19","0","32","76","71","64","1","127","6","2","0","4","1","1",".266",".374",".554",".928","13.6%","27.0%","145",".392","3.1","16478"
"Darin Ruf","SFG","117","262","312","71","40","13","2","16","41","43","46","2","87","3","1","0","8","2","0",".271",".385",".519",".904","14.7%","27.9%","144",".384","2.5","9929"
"Tyler O'Neill","STL","138","482","537","138","76","26","2","34","89","80","38","0","168","13","4","0","8","15","4",".286",".352",".560",".912","7.1%","31.3%","145",".384","5.4","15711"
"A.J. Pollock","LAD","117","384","422","114","65","27","1","21","53","69","30","4","80","6","2","0","4","9","1",".297",".355",".536",".892","7.1%","19.0%","137",".375","3.0","9256"
"Yordan Alvarez","HOU","144","537","598","149","80","35","1","33","92","104","50","3","145","8","3","0","16","1","0",".277",".346",".531",".877","8.4%","24.2%","138",".369","3.7","19556"
"Teoscar Hernandez","TOR","143","550","595","163","102","29","0","32","92","116","36","1","148","7","2","0","5","12","4",".296",".346",".524",".870","6.1%","24.9%","132",".369","3.9","13066"
"Connor Joe","COL","63","179","211","51","34","9","0","8","23","35","26","0","41","3","3","0","1","0","0",".285",".379",".469",".848","12.3%","19.4%","116",".366","1.4","16572"
"Kris Bryant","- - -","144","513","586","136","77","32","2","25","86","73","62","4","135","9","2","0","9","10","2",".265",".353",".481",".835","10.6%","23.0%","123",".356","3.6","15429"
"Tony Kemp","OAK","131","330","397","92","65","16","3","8","54","37","52","0","51","6","5","4","2","8","2",".279",".382",".418",".800","13.1%","12.8%","127",".351","2.7","14894"
"Randy Arozarena","TBR","141","529","604","145","90","32","3","20","94","69","56","4","170","14","5","0","9","20","10",".274",".356",".459",".815","9.3%","28.1%","128",".350","3.3","19290"
"Joey Gallo","- - -","153","498","616","99","47","13","1","38","90","77","111","5","213","6","1","0","6","6","0",".199",".351",".458",".808","18.0%","34.6%","123",".348","3.5","14128"
"Michael Brantley","HOU","121","469","508","146","106","29","3","8","68","47","33","1","53","5","1","0","11","1","0",".311",".362",".437",".799","6.5%","10.4%","123",".347","2.1","4106"
"LaMonte Wade Jr.","SFG","109","336","381","85","47","17","3","18","52","56","33","1","89","5","3","4","3","6","1",".253",".326",".482",".808","8.7%","23.4%","117",".343","1.6","18126"
"Matt Beaty","LAD","120","204","234","55","43","4","1","7","35","40","20","0","44","10","0","0","3","2","2",".270",".363",".402",".765","8.5%","18.8%","114",".339","0.8","17710"
"Jesus Sanchez","MIA","64","227","251","57","33","8","2","14","27","36","20","3","78","3","1","0","2","0","1",".251",".319",".489",".808","8.0%","31.1%","116",".339","0.6","19913"
"Bryan De La Cruz","MIA","58","199","219","59","45","7","2","5","17","19","18","1","53","1","1","0","8","1","1",".296",".356",".427",".783","8.2%","24.2%","115",".339","0.8","19600"
"Robbie Grossman","DET","156","557","671","133","84","23","3","23","88","67","98","3","155","8","6","2","8","20","5",".239",".357",".415",".772","14.6%","23.1%","114",".337","2.7","5254"
"Andrew McCutchen","PHI","144","482","574","107","55","24","1","27","78","80","81","2","132","4","7","0","10","6","1",".222",".334",".444",".778","14.1%","23.0%","107",".335","1.2","9847"
"Alex Verdugo","BOS","146","544","604","157","110","32","2","13","88","63","51","6","96","4","5","0","11","6","2",".289",".351",".426",".777","8.4%","15.9%","107",".334","2.0","17027"
"Mark Canha","OAK","141","519","625","120","77","22","4","17","93","61","77","0","128","27","2","0","9","12","2",".231",".358",".387",".746","12.3%","20.5%","115",".333","2.6","11445"
"Lourdes Gurriel Jr.","TOR","141","500","541","138","87","28","2","21","62","84","32","1","102","2","6","1","8","1","3",".276",".319",".466",".785","5.9%","18.9%","107",".333","1.5","19238"
"Tyrone Taylor","MIL","93","243","271","60","36","9","3","12","33","43","20","1","59","7","1","0","6","6","1",".247",".321",".457",".778","7.4%","21.8%","106",".333","1.5","13675"
"Akil Baddoo","DET","124","413","461","107","67","20","7","13","60","55","45","1","122","0","3","0","5","18","4",".259",".330",".436",".766","9.8%","26.5%","108",".329","1.9","22168"
"Austin Hays","BAL","131","488","529","125","73","26","4","22","73","71","28","0","107","9","1","3","9","4","3",".256",".308",".461",".769","5.3%","20.2%","106",".328","2.4","19363"
"Ian Happ","CHC","148","465","535","105","59","20","1","25","63","66","62","0","156","5","1","2","12","9","2",".226",".323",".434",".757","11.6%","29.2%","103",".328","1.3","17919"
"Andrew Benintendi","KCR","134","493","538","136","90","27","2","17","63","73","36","0","97","2","6","1","2","8","9",".276",".324",".442",".766","6.7%","18.0%","106",".328","2.1","17901"
"Austin Meadows","TBR","142","518","591","121","62","29","3","27","79","106","59","3","122","6","8","0","4","4","3",".234",".315",".458",".772","10.0%","20.6%","113",".327","2.0","15672"
"Chas McCormick","HOU","108","284","320","73","47","12","0","14","47","50","25","0","104","4","7","0","5","4","2",".257",".319",".447",".766","7.8%","32.5%","109",".327","1.9","19599"
"Christian Yelich","MIL","117","399","475","99","69","19","2","9","70","51","70","5","113","3","3","0","5","9","3",".248",".362",".373",".736","14.7%","23.8%","101",".325","1.5","11477"
"Adam Duvall","- - -","146","513","555","117","60","17","2","38","67","113","35","1","174","4","3","0","7","5","0",".228",".281",".491",".772","6.3%","31.4%","103",".324","2.4","10950"
"Jake Fraley","SEA","78","214","265","45","29","7","0","9","27","36","46","1","71","2","2","1","3","10","2",".210",".352",".369",".721","17.4%","26.8%","109",".322","0.5","19260"
"Ben Gamel","- - -","122","340","400","84","55","18","3","8","43","26","51","2","105","3","4","2","7","3","6",".247",".347",".388",".735","12.8%","26.3%","101",".322","1.2","12160"
"Austin Slater","SFG","129","274","306","66","41","12","1","12","39","32","28","2","84","4","0","0","7","15","2",".241",".320",".423",".744","9.2%","27.5%","103",".321","1.8","16153"
"Yadiel Hernandez","WSN","112","264","289","72","54","8","1","9","33","32","22","1","59","1","2","0","11","3","0",".273",".329",".413",".742","7.6%","20.4%","98",".320","0.2","19334"
