Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Trea Turner,- - -,148,595,646,195,130,34,3,28,319,124.31,107,77,41,2,110,6,4,0,18,32,5,0.328,0.375,0.536,0.911,0.323,0.938,6.30%,17.00%,142,0.386,6.9,16252
Marcus Semien,TOR,162,652,724,173,87,39,2,45,351,123.99,115,102,66,0,146,3,3,0,9,15,1,0.265,0.334,0.538,0.873,0.396,0.884,9.10%,20.20%,131,0.368,6.6,12533
Brandon Lowe,TBR,149,535,615,132,62,31,0,39,280,103.50,97,99,68,4,167,9,3,0,2,7,1,0.247,0.34,0.523,0.863,0.415,0.869,11.10%,27.20%,137,0.363,5.2,18882
Jonathan India,CIN,150,532,631,143,86,34,2,21,244,99.71,98,69,71,1,141,23,4,1,13,12,3,0.269,0.376,0.459,0.835,0.340,0.854,11.30%,22.30%,122,0.363,3.9,21523
Jose Altuve,HOU,146,601,678,167,103,32,1,31,294,107.17,117,83,66,3,91,4,6,1,9,5,3,0.278,0.35,0.489,0.839,0.324,0.847,9.70%,13.40%,130,0.357,5.2,5417
Tony Kemp,OAK,131,330,397,92,65,16,3,8,138,61.84,54,37,52,0,51,6,5,4,2,8,2,0.279,0.382,0.418,0.8,0.315,0.832,13.10%,12.80%,127,0.351,2.7,14894
Jorge Polanco,MIN,152,588,644,158,88,35,2,33,296,100.23,97,98,45,0,118,5,6,0,4,11,6,0.269,0.323,0.503,0.826,0.320,0.835,7.00%,18.30%,122,0.349,3.9,13152
Javier Baez,- - -,138,502,547,133,82,18,2,31,248,80.27,80,87,28,2,184,13,3,0,12,18,5,0.265,0.319,0.494,0.813,0.311,0.832,5.10%,33.60%,116,0.344,3.6,12979
Brendan Rodgers,COL,102,387,415,110,71,21,3,15,182,58.84,49,51,19,0,84,7,2,0,8,0,0,0.284,0.328,0.47,0.798,0.235,0.802,4.60%,20.20%,100,0.341,1.6,17907
Jake Cronenworth,SDP,152,567,643,151,90,33,7,21,261,91.54,94,71,55,6,90,10,3,3,8,4,3,0.266,0.34,0.46,0.8,0.293,0.809,8.60%,14.00%,116,0.341,4.4,18036
Ramon Urias,BAL,85,262,296,73,52,14,0,7,108,40.61,33,38,28,0,76,6,0,0,3,1,2,0.279,0.361,0.412,0.774,0.237,0.781,9.50%,25.70%,115,0.341,1.6,18795
Adam Frazier,- - -,155,577,639,176,130,36,5,5,237,90.52,83,43,48,2,69,10,1,3,10,10,5,0.305,0.368,0.411,0.779,0.198,0.794,7.50%,10.80%,114,0.341,3.4,15223
Chris Taylor,LAD,148,507,582,129,80,25,4,20,222,85.49,92,73,63,2,167,8,3,1,5,13,1,0.254,0.344,0.438,0.782,0.331,0.808,10.80%,28.70%,113,0.338,3.1,13757
Enrique Hernandez,BOS,134,508,585,127,69,35,3,20,228,83.86,84,60,61,0,110,9,7,0,4,1,0,0.25,0.337,0.449,0.786,0.321,0.800,10.40%,18.80%,110,0.338,3.9,10472
Jean Segura,PHI,131,514,567,149,105,27,3,14,224,78.24,76,58,39,3,78,9,4,1,16,9,3,0.29,0.348,0.436,0.784,0.233,0.801,6.90%,13.80%,109,0.338,2.5,5933
Kolten Wong,MIL,116,445,492,121,73,32,2,14,199,72.31,70,50,31,1,83,13,3,0,2,12,5,0.272,0.335,0.447,0.783,0.261,0.800,6.30%,16.90%,109,0.337,2.9,12532
Ozzie Albies,ATL,156,629,686,163,86,40,7,30,307,103.54,103,106,47,2,128,3,7,0,4,20,4,0.259,0.31,0.488,0.799,0.329,0.821,6.90%,18.70%,107,0.336,4.2,16556
Nick Madrigal,CHW,54,200,215,61,45,10,4,2,85,29.51,30,21,11,0,17,3,1,0,3,1,2,0.305,0.349,0.425,0.774,0.170,0.778,5.10%,7.90%,113,0.335,1.3,20521
Eduardo Escobar,- - -,146,549,599,139,80,26,5,28,259,84.46,77,90,48,1,124,1,1,0,3,1,0,0.253,0.314,0.472,0.786,0.308,0.790,8.00%,20.70%,107,0.334,3,6153
Ryan McMahon,COL,151,528,596,134,78,32,1,23,237,80.13,80,86,59,2,147,4,5,0,14,6,2,0.254,0.331,0.449,0.779,0.314,0.794,9.90%,24.70%,95,0.334,2.5,15112
Josh Rojas,ARI,139,484,550,128,82,32,3,11,199,72.54,69,44,58,1,137,0,3,1,7,9,4,0.264,0.341,0.411,0.752,0.277,0.772,10.50%,24.90%,102,0.327,2,19734
Andy Ibanez,TEX,76,253,272,70,46,15,2,7,110,34.53,31,25,15,0,35,2,1,1,6,0,0,0.277,0.321,0.435,0.756,0.217,0.763,5.50%,12.90%,107,0.325,1,18819
Josh Harrison,- - -,138,505,558,141,98,33,2,8,202,71.64,58,60,31,0,75,18,3,0,9,9,5,0.279,0.341,0.4,0.741,0.190,0.758,5.60%,13.40%,103,0.325,1.5,8202
Donovan Solano,SFG,101,307,344,86,62,17,0,7,124,44.23,35,31,25,2,58,7,4,1,8,2,0,0.28,0.344,0.404,0.748,0.212,0.769,7.30%,16.90%,105,0.324,1.1,8623
Luis Arraez,MIN,121,428,479,126,101,17,6,2,161,60.19,58,42,43,2,48,2,6,0,9,2,2,0.294,0.357,0.376,0.733,0.182,0.753,9.00%,10.00%,103,0.321,1.8,18568
Jace Peterson,MIL,94,259,302,64,46,11,1,6,95,40.13,36,31,38,0,68,3,2,0,1,10,1,0.247,0.348,0.367,0.714,0.301,0.759,12.60%,22.50%,97,0.318,0.9,12325
DJ LeMahieu,NYY,150,597,679,160,125,24,1,10,216,78.86,84,57,73,2,94,4,5,0,16,4,2,0.268,0.349,0.362,0.711,0.219,0.734,10.80%,13.80%,100,0.315,2.4,9874
Jazz Chisholm Jr.,MIA,124,464,507,115,73,20,4,18,197,65.52,70,53,34,0,145,4,3,2,3,23,8,0.248,0.303,0.425,0.728,0.282,0.760,6.70%,28.60%,98,0.312,1.6,20454
Wilmer Difo,PIT,116,219,240,59,45,7,3,4,84,29.26,25,24,20,0,54,0,1,0,2,1,0,0.269,0.329,0.384,0.713,0.210,0.728,8.30%,22.50%,95,0.312,0.5,14320
Jed Lowrie,OAK,139,457,512,112,70,28,0,14,182,60.24,55,69,49,1,108,2,4,0,8,0,0,0.245,0.318,0.398,0.717,0.260,0.731,9.60%,21.10%,100,0.311,0.9,4418
Tommy La Stella,SFG,76,220,242,55,36,11,1,7,89,27.62,26,27,18,1,26,1,1,0,4,0,0,0.25,0.308,0.405,0.713,0.236,0.723,7.40%,10.70%,94,0.307,0.5,12371
Whit Merrifield,KCR,162,664,720,184,129,42,3,10,262,95.75,97,74,40,1,103,4,12,0,12,40,4,0.277,0.317,0.395,0.711,0.232,0.765,5.60%,14.30%,91,0.306,3.2,11281
Gavin Lux,LAD,102,335,381,81,58,12,4,7,122,44.04,49,46,41,3,83,3,2,0,3,4,1,0.242,0.328,0.364,0.692,0.254,0.717,10.80%,21.80%,91,0.303,1,19955
Abraham Toro,- - -,95,335,375,80,57,12,0,11,125,41.91,45,46,31,0,54,7,2,0,5,6,3,0.239,0.315,0.373,0.688,0.236,0.711,8.30%,14.40%,95,0.303,1.2,19844
Cesar Hernandez,- - -,149,570,637,132,88,21,2,21,220,69.36,84,62,59,2,135,5,3,0,11,1,1,0.232,0.308,0.386,0.694,0.258,0.708,9.30%,21.20%,90,0.302,2.2,10556
Tommy Edman,STL,159,641,691,168,113,41,3,11,248,86.44,91,56,38,1,95,6,4,2,4,30,5,0.262,0.308,0.387,0.695,0.223,0.734,5.50%,13.70%,91,0.301,2.3,19470
Jeff McNeil,NYM,120,386,426,97,70,19,1,7,139,45.29,48,35,29,0,58,10,1,0,10,3,0,0.251,0.319,0.36,0.679,0.192,0.699,6.80%,13.60%,93,0.301,0.5,15362
Nick Solak,TEX,127,458,511,111,80,18,2,11,166,53.20,57,49,34,0,107,15,2,2,11,7,5,0.242,0.314,0.362,0.677,0.199,0.697,6.70%,20.90%,89,0.299,1.1,19294
Hanser Alberto,KCR,103,241,255,65,40,20,3,2,97,29.56,25,24,4,0,26,4,2,4,1,3,1,0.27,0.291,0.402,0.693,0.158,0.712,1.60%,10.20%,84,0.296,0.6,11902
Luis Garcia,WSN,70,236,247,57,31,18,2,6,97,23.39,29,22,11,1,43,0,0,0,8,0,2,0.242,0.275,0.411,0.686,0.208,0.685,4.50%,17.40%,79,0.291,-0.2,20391
Jorge Mateo,- - -,89,194,209,48,32,11,1,4,73,23.97,19,14,9,0,55,4,1,1,1,10,3,0.247,0.293,0.376,0.67,0.211,0.708,4.30%,26.30%,83,0.291,0.5,17273
Harold Castro,DET,106,315,339,89,72,13,1,3,113,35.39,35,37,14,0,72,1,5,4,7,1,1,0.283,0.31,0.359,0.669,0.121,0.689,4.10%,21.20%,83,0.291,0.5,14691
Rougned Odor,NYY,102,322,361,65,38,12,0,15,122,36.17,42,39,27,2,100,11,0,1,3,0,1,0.202,0.286,0.379,0.665,0.258,0.677,7.50%,27.70%,83,0.289,0.6,12282
Garrett Hampson,COL,147,453,494,106,68,21,6,11,172,52.59,69,33,33,2,118,3,2,3,6,17,7,0.234,0.289,0.38,0.669,0.241,0.699,6.70%,23.90%,65,0.288,0.5,19262
