Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Yasmani Grandal,CHW,93,279,375,67,35,9,0,23,145,98.80,60,62,87,0,82,3,5,1,15,0,0,0.24,0.42,0.52,0.939,0.591,0.941,23.20%,21.90%,159,0.402,3.7,11368
Mitch Garver,MIN,68,207,243,53,25,15,0,13,107,50.23,29,34,31,0,71,3,2,0,4,1,1,0.256,0.358,0.517,0.875,0.411,0.876,12.80%,29.20%,137,0.372,2.1,15161
Will Smith,LAD,130,414,501,107,61,19,2,25,205,100.49,71,76,58,4,101,18,11,0,11,3,0,0.258,0.365,0.495,0.86,0.384,0.876,11.60%,20.20%,130,0.364,4.6,19197
Salvador Perez,KCR,161,620,665,169,97,24,0,48,337,111.59,88,121,28,4,170,13,4,0,14,1,0,0.273,0.316,0.544,0.859,0.318,0.860,4.20%,25.60%,127,0.359,3.4,7304
Mike Zunino,TBR,109,333,375,72,26,11,2,33,186,65.48,64,62,34,0,132,7,1,0,7,0,0,0.216,0.301,0.559,0.86,0.444,0.855,9.10%,35.20%,134,0.358,4.5,13265
Tyler Stephenson,CIN,132,350,402,100,69,21,0,10,151,70.69,56,45,41,1,75,6,5,0,11,0,0,0.286,0.366,0.431,0.797,0.263,0.812,10.20%,18.70%,111,0.346,2,17988
Willson Contreras,CHC,128,413,483,98,57,20,0,21,181,78.33,61,57,52,1,138,14,4,0,11,5,4,0.237,0.34,0.438,0.778,0.329,0.792,10.80%,28.60%,109,0.337,2.1,11609
J.T. Realmuto,PHI,134,476,537,125,79,25,4,17,209,87.96,64,73,48,5,129,11,2,0,8,13,3,0.263,0.343,0.439,0.782,0.298,0.804,8.90%,24.00%,108,0.336,4.4,11739
Elias Diaz,COL,106,338,371,83,46,18,1,18,157,52.85,52,44,30,1,60,2,1,0,15,0,0,0.246,0.31,0.464,0.774,0.308,0.779,8.10%,16.20%,92,0.33,1.6,11680
Danny Jansen,TOR,70,184,205,41,17,13,0,11,87,30.51,32,28,17,0,44,3,0,1,4,0,0,0.223,0.299,0.473,0.772,0.342,0.776,8.30%,21.50%,105,0.329,1.4,16535
Carson Kelly,ARI,98,304,359,73,48,11,1,13,125,58.78,41,46,44,1,74,6,5,0,10,0,0,0.24,0.343,0.411,0.754,0.316,0.774,12.30%,20.60%,103,0.328,1.7,13620
Max Stassi,LAA,87,282,319,68,43,11,1,13,120,47.66,45,35,28,0,101,8,1,0,8,0,0,0.241,0.326,0.426,0.752,0.284,0.762,8.80%,31.70%,107,0.327,2.9,10059
