Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Jesse Winker,CIN,110,423,485,129,72,32,1,24,235,110.89,77,71,53,1,75,9,0,0,14,1,0,0.305,0.394,0.556,0.949,0.378,0.944,10.90%,15.50%,148,0.403,3.2,13590
Kyle Schwarber,- - -,113,399,471,106,55,19,0,32,221,110.71,76,71,64,1,127,6,2,0,4,1,1,0.266,0.374,0.554,0.928,0.449,0.921,13.60%,27.00%,145,0.392,3.1,16478
Darin Ruf,SFG,117,262,312,71,40,13,2,16,136,70.08,41,43,46,2,87,3,1,0,8,2,0,0.271,0.385,0.519,0.904,0.431,0.907,14.70%,27.90%,144,0.384,2.5,9929
Tyler O'Neill,STL,138,482,537,138,76,26,2,34,270,107.21,89,80,38,0,168,13,4,0,8,15,4,0.286,0.352,0.56,0.912,0.376,0.922,7.10%,31.30%,145,0.384,5.4,15711
A.J. Pollock,LAD,117,384,422,114,65,27,1,21,206,84.64,53,69,30,4,80,6,2,0,4,9,1,0.297,0.355,0.536,0.892,0.339,0.904,7.10%,19.00%,137,0.375,3,9256
Yordan Alvarez,HOU,144,537,598,149,80,35,1,33,285,112.52,92,104,50,3,145,8,3,0,16,1,0,0.277,0.346,0.531,0.877,0.348,0.877,8.40%,24.20%,138,0.369,3.7,19556
Teoscar Hernandez,TOR,143,550,595,163,102,29,0,32,288,111.55,92,116,36,1,148,7,2,0,5,12,4,0.296,0.346,0.524,0.87,0.307,0.878,6.10%,24.90%,132,0.369,3.9,13066
Kris Bryant,- - -,144,513,586,136,77,32,2,25,247,109.85,86,73,62,4,135,9,2,0,9,10,2,0.265,0.353,0.481,0.835,0.353,0.848,10.60%,23.00%,123,0.356,3.6,15429
Tony Kemp,OAK,131,330,397,92,65,16,3,8,138,78.02,54,37,52,0,51,6,5,4,2,8,2,0.279,0.382,0.418,0.8,0.315,0.832,13.10%,12.80%,127,0.351,2.7,14894
Randy Arozarena,TBR,141,529,604,145,90,32,3,20,243,104.22,94,69,56,4,170,14,5,0,9,20,10,0.274,0.356,0.459,0.815,0.31,0.835,9.30%,28.10%,128,0.35,3.3,19290
Joey Gallo,- - -,153,498,616,99,47,13,1,38,228,125.84,90,77,111,5,213,6,1,0,6,6,0,0.199,0.351,0.458,0.808,0.494,0.824,18.00%,34.60%,123,0.348,3.5,14128
Michael Brantley,HOU,121,469,508,146,106,29,3,8,205,84.67,68,47,33,1,53,5,1,0,11,1,0,0.311,0.362,0.437,0.799,0.198,0.807,6.50%,10.40%,123,0.347,2.1,4106
LaMonte Wade Jr.,SFG,109,336,381,85,47,17,3,18,162,65.5,52,56,33,1,89,5,3,4,3,6,1,0.253,0.326,0.482,0.808,0.342,0.826,8.70%,23.40%,117,0.343,1.6,18126
Matt Beaty,LAD,120,204,234,55,43,4,1,7,82,37.54,35,40,20,0,44,10,0,0,3,2,2,0.27,0.363,0.402,0.765,0.23,0.777,8.50%,18.80%,114,0.339,0.8,17710
Robbie Grossman,DET,156,557,671,133,84,23,3,23,231,122.2,88,67,98,3,155,8,6,2,8,20,5,0.239,0.357,0.415,0.772,0.379,0.807,14.60%,23.10%,114,0.337,2.7,5254
Andrew McCutchen,PHI,144,482,574,107,55,24,1,27,214,102.03,78,80,81,2,132,4,7,0,10,6,1,0.222,0.334,0.444,0.778,0.4,0.8,14.10%,23.00%,107,0.335,1.2,9847
Alex Verdugo,BOS,146,544,604,157,110,32,2,13,232,99.08,88,63,51,6,96,4,5,0,11,6,2,0.289,0.351,0.426,0.777,0.239,0.794,8.40%,15.90%,107,0.334,2,17027
Mark Canha,OAK,141,519,625,120,77,22,4,17,201,104.64,93,61,77,0,128,27,2,0,9,12,2,0.231,0.358,0.387,0.746,0.324,0.778,12.30%,20.50%,115,0.333,2.6,11445
Lourdes Gurriel Jr.,TOR,141,500,541,138,87,28,2,21,233,83.36,62,84,32,1,102,2,6,1,8,1,3,0.276,0.319,0.466,0.785,0.25,0.79,5.90%,18.90%,107,0.333,1.5,19238
Tyrone Taylor,MIL,93,243,271,60,36,9,3,12,111,40.96,33,43,20,1,59,7,1,0,6,6,1,0.247,0.321,0.457,0.778,0.313,0.797,7.40%,21.80%,106,0.333,1.5,13675
Akil Baddoo,DET,124,413,461,107,67,20,7,13,180,74.27,60,55,45,1,122,0,3,0,5,18,4,0.259,0.33,0.436,0.766,0.32,0.797,9.80%,26.50%,108,0.329,1.9,22168
Austin Hays,BAL,131,488,529,125,73,26,4,22,225,75.19,73,71,28,0,107,9,1,3,9,4,3,0.256,0.308,0.461,0.769,0.264,0.775,5.30%,20.20%,106,0.328,2.4,19363
Ian Happ,CHC,148,465,535,105,59,20,1,25,202,83.71,63,66,62,0,156,5,1,2,12,9,2,0.226,0.323,0.434,0.757,0.357,0.777,11.60%,29.20%,103,0.328,1.3,17919
Andrew Benintendi,KCR,134,493,538,136,90,27,2,17,218,81.92,63,73,36,0,97,2,6,1,2,8,9,0.276,0.324,0.442,0.766,0.237,0.775,6.70%,18.00%,106,0.328,2.1,17901
Austin Meadows,TBR,142,518,591,121,62,29,3,27,237,96.96,79,106,59,3,122,6,8,0,4,4,3,0.234,0.315,0.458,0.772,0.34,0.785,10.00%,20.60%,113,0.327,2,15672
Chas McCormick,HOU,108,284,320,73,47,12,0,14,127,49.44,47,50,25,0,104,4,7,0,5,4,2,0.257,0.319,0.447,0.766,0.285,0.787,7.80%,32.50%,109,0.327,1.9,19599
Christian Yelich,MIL,117,399,475,99,69,19,2,9,149,82.75,70,51,70,5,113,3,3,0,5,9,3,0.248,0.362,0.373,0.736,0.316,0.768,14.70%,23.80%,101,0.325,1.5,11477
Adam Duvall,- - -,146,513,555,117,60,17,2,38,252,80.51,67,113,35,1,174,4,3,0,7,5,0,0.228,0.281,0.491,0.772,0.341,0.782,6.30%,31.40%,103,0.324,2.4,10950
Ben Gamel,- - -,122,340,400,84,55,18,3,8,132,62.99,43,26,51,2,105,3,4,2,7,3,6,0.247,0.347,0.388,0.735,0.282,0.752,12.80%,26.30%,101,0.322,1.2,12160
Austin Slater,SFG,129,274,306,66,41,12,1,12,116,44.15,39,32,28,2,84,4,0,0,7,15,2,0.241,0.32,0.423,0.744,0.332,0.783,9.20%,27.50%,103,0.321,1.8,16153
Yadiel Hernandez,WSN,112,264,289,72,54,8,1,9,109,40.32,33,32,22,1,59,1,2,0,11,3,0,0.273,0.329,0.413,0.742,0.235,0.76,7.60%,20.40%,98,0.32,0.2,19334
Tommy Pham,SDP,155,475,561,109,68,24,2,15,182,88.76,74,49,78,3,128,4,4,0,10,14,6,0.229,0.34,0.383,0.724,0.335,0.756,13.90%,22.80%,102,0.318,1.5,2967
Corey Dickerson,- - -,109,336,365,91,62,18,5,6,137,49.38,43,29,25,1,68,3,1,0,8,6,5,0.271,0.326,0.408,0.734,0.214,0.745,6.80%,18.60%,100,0.317,0.8,10762
Eloy Jimenez,CHW,55,213,231,53,33,10,0,10,93,30.71,23,37,16,0,57,1,1,0,8,0,0,0.249,0.303,0.437,0.74,0.263,0.747,6.90%,24.70%,101,0.317,0.2,17484
Eddie Rosario,- - -,111,379,412,98,62,19,3,14,165,58.16,42,62,26,0,61,1,4,2,4,11,3,0.259,0.305,0.435,0.74,0.266,0.766,6.30%,14.80%,98,0.316,0.9,12155
Joc Pederson,- - -,137,429,481,102,62,19,3,18,181,67.57,55,61,39,0,117,8,5,0,9,2,3,0.238,0.31,0.422,0.732,0.273,0.744,8.10%,24.30%,94,0.315,0.6,11899
David Peralta,ARI,150,487,538,126,80,30,8,8,196,78.5,57,63,46,3,92,3,2,0,9,2,1,0.259,0.325,0.402,0.728,0.24,0.74,8.60%,17.10%,93,0.314,1.1,2136
Alex Dickerson,SFG,111,283,312,66,41,10,2,13,119,42.1,37,38,23,1,76,6,0,0,7,1,0,0.233,0.304,0.42,0.725,0.272,0.735,7.40%,24.40%,97,0.313,0.2,12649
D.J. Stewart,BAL,100,270,318,55,33,10,0,12,101,49.44,39,33,44,1,89,4,0,0,3,0,0,0.204,0.324,0.374,0.698,0.333,0.717,13.80%,28.00%,94,0.31,0.4,17766
Andrew Vaughn,CHW,127,417,469,98,61,22,0,15,165,61.87,56,48,41,0,101,6,5,0,14,1,1,0.235,0.309,0.396,0.705,0.259,0.722,8.70%,21.50%,94,0.306,0.3,26197
Brett Gardner,NYY,140,387,461,86,56,16,4,10,140,71.25,47,39,60,0,100,3,6,5,3,4,0,0.222,0.327,0.362,0.689,0.305,0.726,13.00%,21.70%,93,0.305,1.4,9927
Justin Upton,LAA,89,318,362,67,38,12,0,17,130,48,47,41,39,0,107,1,3,0,11,4,1,0.211,0.296,0.409,0.705,0.33,0.727,10.80%,29.60%,92,0.305,0.3,5222
