Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Bryce Harper,PHI,141,488,599,151,73,42,1,35,300,134.20,101,84,100,14,134,5,4,2,12,13,3,0.309,0.429,0.615,1.044,0.531,1.035,16.70%,22.40%,170,0.431,6.6,11579
Juan Soto,WSN,151,502,654,157,106,20,2,29,268,128.84,111,95,145,23,93,2,5,0,23,9,7,0.313,0.465,0.534,0.999,0.514,0.993,22.20%,14.20%,163,0.42,6.6,20123
Ronald Acuna Jr.,ATL,82,297,360,84,40,19,1,24,177,76.69,72,52,49,2,85,9,5,0,0,17,6,0.283,0.394,0.596,0.99,0.515,0.996,13.60%,23.60%,157,0.412,4.2,18401
Nick Castellanos,CIN,138,531,585,164,91,38,1,34,306,107.29,95,100,41,5,121,7,6,0,16,3,1,0.309,0.362,0.576,0.939,0.348,0.939,7.00%,20.70%,140,0.391,4.2,11737
Aaron Judge,NYY,148,550,633,158,95,24,0,39,299,112.26,89,98,75,2,158,3,5,0,16,6,1,0.287,0.373,0.544,0.916,0.402,0.920,11.80%,25.00%,148,0.387,5.5,15640
Kyle Tucker,HOU,140,506,567,149,79,37,3,30,282,102.98,83,92,53,5,90,1,5,0,10,14,2,0.294,0.359,0.557,0.917,0.391,0.929,9.30%,15.90%,147,0.383,4.8,18345
Teoscar Hernandez,TOR,143,550,595,163,102,29,0,32,288,101.38,92,116,36,1,148,7,2,0,5,12,4,0.296,0.346,0.524,0.87,0.307,0.878,6.10%,24.90%,132,0.369,3.9,13066
Garrett Cooper,MIA,71,215,250,61,41,10,1,9,100,38.68,30,33,30,0,68,4,1,0,6,1,1,0.284,0.38,0.465,0.845,0.321,0.851,12.00%,27.20%,134,0.367,1.1,15279
Mookie Betts,LAD,122,466,550,123,68,29,3,23,227,88.96,93,58,68,2,86,11,5,0,5,10,5,0.264,0.367,0.487,0.854,0.380,0.866,12.40%,15.60%,131,0.365,3.9,13611
Gavin Sheets,CHW,54,160,179,40,21,8,0,11,81,26.00,23,34,16,0,40,2,1,0,4,0,0,0.25,0.324,0.506,0.83,0.356,0.832,8.90%,22.30%,125,0.352,0.4,19901
Randy Arozarena,TBR,141,529,604,145,90,32,3,20,243,88.64,94,69,56,4,170,14,5,0,9,20,10,0.274,0.356,0.459,0.815,0.310,0.835,9.30%,28.10%,128,0.35,3.3,19290
Joey Gallo,- - -,153,498,616,99,47,13,1,38,228,88.90,90,77,111,5,213,6,1,0,6,6,0,0.199,0.351,0.458,0.808,0.494,0.824,18.00%,34.60%,123,0.348,3.5,14128
Avisail Garcia,MIL,135,461,515,121,74,18,0,29,226,73.02,68,86,38,5,121,11,5,0,12,8,4,0.262,0.33,0.49,0.82,0.319,0.831,7.40%,23.50%,115,0.346,2.9,5760
Hunter Renfroe,BOS,144,521,572,135,71,33,0,31,261,83.10,89,96,44,0,130,1,6,0,6,1,2,0.259,0.315,0.501,0.816,0.324,0.819,7.70%,22.70%,114,0.344,1.8,15464
LaMonte Wade Jr.,SFG,109,336,381,85,47,17,3,18,162,55.71,52,56,33,1,89,5,3,4,3,6,1,0.253,0.326,0.482,0.808,0.342,0.826,8.70%,23.40%,117,0.343,1.6,18126
Mitch Haniger,SEA,157,620,691,157,93,23,2,39,301,96.79,110,100,54,2,169,9,8,0,12,1,0,0.253,0.318,0.485,0.804,0.321,0.812,7.80%,24.50%,120,0.34,2.8,14274
Matt Beaty,LAD,120,204,234,55,43,4,1,7,82,31.06,35,40,20,0,44,10,0,0,3,2,2,0.27,0.363,0.402,0.765,0.230,0.777,8.50%,18.80%,114,0.339,0.8,17710
