Name,Team,G,AB,PA,H,1B,2B,3B,HR,TB,RC,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,SecA,EqA,BB%,K%,wRC+,wOBA,WAR,playerid
Fernando Tatis Jr.,SDP,130,478,546,135,62,31,0,42,292,112.11,99,97,62,6,153,2,4,0,5,25,4,0.282,0.364,0.611,0.975,0.502,0.989,11.40%,28.00%,156,0.403,6.1,19709
Corey Seager,LAD,95,353,409,108,67,22,3,16,184,74.08,54,57,48,2,66,5,3,0,8,1,1,0.306,0.394,0.521,0.915,0.351,0.915,11.70%,16.10%,147,0.389,3.7,13624
Trea Turner,- - -,148,595,646,195,130,34,3,28,319,118.46,107,77,41,2,110,6,4,0,18,32,5,0.328,0.375,0.536,0.911,0.323,0.938,6.30%,17.00%,142,0.386,6.9,16252
Brandon Crawford,SFG,138,483,549,144,87,30,3,24,252,97.04,79,90,56,6,105,5,5,0,8,11,3,0.298,0.373,0.522,0.895,0.356,0.906,10.20%,19.10%,139,0.377,5.5,5343
Xander Bogaerts,BOS,144,529,603,156,98,34,1,23,261,98.48,90,79,62,2,113,5,7,0,13,5,1,0.295,0.37,0.493,0.863,0.323,0.874,10.30%,18.70%,130,0.368,5.2,12161
Carlos Correa,HOU,148,555,640,155,94,34,1,26,269,99.51,104,92,75,2,116,4,6,0,16,0,0,0.279,0.366,0.485,0.85,0.341,0.857,11.70%,18.10%,134,0.364,5.8,14162
Bo Bichette,TOR,159,640,690,191,131,30,1,29,310,110.39,121,102,40,0,137,6,4,0,10,25,1,0.298,0.343,0.484,0.828,0.286,0.857,5.80%,19.90%,122,0.354,4.9,19612
Willy Adames,- - -,140,497,555,130,72,32,1,25,239,80.47,77,73,57,1,156,0,1,0,9,5,4,0.262,0.337,0.481,0.818,0.336,0.821,10.30%,28.10%,119,0.349,4.1,15986
Wander Franco,TBR,70,281,308,81,51,18,5,7,130,46.71,53,39,24,0,37,2,1,0,2,2,1,0.288,0.347,0.463,0.81,0.263,0.817,7.80%,12.00%,127,0.348,2.5,23667
Tim Anderson,CHW,123,527,551,163,115,29,2,17,247,82.93,94,61,22,1,119,1,1,0,5,18,7,0.309,0.338,0.469,0.806,0.222,0.822,4.00%,21.60%,120,0.345,4.3,15172
Javier Baez,- - -,138,502,547,133,82,18,2,31,248,77.37,80,87,28,2,184,13,3,0,12,18,5,0.265,0.319,0.494,0.813,0.311,0.832,5.10%,33.60%,116,0.344,3.6,12979
Trevor Story,COL,142,526,595,132,69,34,5,24,248,85.23,88,75,53,2,139,11,5,0,7,20,6,0.251,0.329,0.471,0.801,0.348,0.824,8.90%,23.40%,100,0.341,3.5,12564
Jake Cronenworth,SDP,152,567,643,151,90,33,7,21,261,90.46,94,71,55,6,90,10,3,3,8,4,3,0.266,0.34,0.46,0.8,0.293,0.809,8.60%,14.00%,116,0.341,4.4,18036
Ramon Urias,BAL,85,262,296,73,52,14,0,7,108,40.44,33,38,28,0,76,6,0,0,3,1,2,0.279,0.361,0.412,0.774,0.237,0.781,9.50%,25.70%,115,0.341,1.6,18795
Luis Urias,MIL,150,490,570,122,73,25,1,23,218,78.59,77,75,63,3,116,10,3,1,9,5,1,0.249,0.345,0.445,0.789,0.333,0.805,11.10%,20.40%,111,0.34,2.7,16622
Nico Hoerner,CHC,44,149,170,45,35,10,0,0,55,21.71,13,16,17,3,25,3,1,0,3,5,3,0.302,0.382,0.369,0.751,0.195,0.779,10.00%,14.70%,104,0.33,0.8,21479
Nicky Lopez,KCR,151,497,565,149,120,21,6,2,188,75.11,78,43,49,0,74,4,3,12,9,22,1,0.3,0.365,0.378,0.744,0.219,0.791,8.70%,13.10%,106,0.329,4.4,19339
Josh Rojas,ARI,139,484,550,128,82,32,3,11,199,70.70,69,44,58,1,137,0,3,1,7,9,4,0.264,0.341,0.411,0.752,0.277,0.772,10.50%,24.90%,102,0.327,2,19734
Alcides Escobar,WSN,75,319,349,92,65,21,2,4,129,46.33,53,28,17,0,56,9,2,2,2,3,0,0.288,0.34,0.404,0.744,0.179,0.763,4.90%,16.00%,100,0.325,1.7,6310
Dansby Swanson,ATL,160,588,653,146,84,33,2,27,264,84.71,78,88,52,4,167,5,7,1,7,9,3,0.248,0.311,0.449,0.76,0.299,0.778,8.00%,25.60%,98,0.322,3.2,18314
Edmundo Sosa,STL,113,288,326,78,60,8,4,6,112,38.14,39,27,17,2,63,17,2,1,8,4,4,0.271,0.346,0.389,0.735,0.177,0.751,5.20%,19.30%,104,0.322,1.6,17022
Francisco Lindor,NYM,125,452,524,104,65,16,3,20,186,62.88,73,63,58,4,96,5,3,6,7,10,4,0.23,0.322,0.412,0.734,0.323,0.759,11.10%,18.30%,103,0.317,2.7,12916
Kyle Farmer,CIN,147,483,529,127,87,22,2,16,201,60.24,60,63,22,1,97,18,5,1,16,2,3,0.263,0.316,0.416,0.732,0.197,0.743,4.20%,18.30%,91,0.316,1.6,14813
Amed Rosario,CLE,141,550,588,155,113,25,6,11,225,73.05,77,57,31,0,120,3,4,0,12,13,0,0.282,0.321,0.409,0.731,0.207,0.756,5.30%,20.40%,99,0.315,2.7,15518
J.P. Crawford,SEA,160,619,687,169,123,37,0,9,233,79.63,89,54,58,1,114,5,4,1,10,3,6,0.273,0.338,0.376,0.715,0.192,0.727,8.40%,16.60%,103,0.314,3.1,15491
Jazz Chisholm Jr.,MIA,124,464,507,115,73,20,4,18,197,62.02,70,53,34,0,145,4,3,2,3,23,8,0.248,0.303,0.425,0.728,0.282,0.760,6.70%,28.60%,98,0.312,1.6,20454
Miguel Rojas,MIA,132,495,539,131,89,30,3,9,194,63.15,66,48,37,0,74,5,1,1,10,13,3,0.265,0.322,0.392,0.713,0.222,0.738,6.90%,13.70%,97,0.311,2.8,7802
Gleyber Torres,NYY,127,459,516,119,88,22,0,9,168,56.38,50,51,50,1,104,1,4,2,12,14,6,0.259,0.331,0.366,0.697,0.233,0.728,9.70%,20.20%,94,0.307,1.7,16997
Freddy Galvis,- - -,104,356,394,86,56,15,1,14,145,44.51,53,40,27,1,77,5,3,2,6,1,0,0.242,0.302,0.407,0.709,0.244,0.725,6.90%,19.50%,90,0.305,1.6,6609
Tyler Wade,NYY,103,127,145,34,28,5,1,0,41,15.75,31,5,16,1,37,1,0,0,3,17,6,0.268,0.354,0.323,0.677,0.268,0.755,11.00%,25.50%,92,0.304,0.9,15730
Jose Iglesias,- - -,137,483,511,131,93,27,2,9,189,56.90,65,48,21,0,75,6,1,0,10,5,2,0.271,0.309,0.391,0.701,0.170,0.712,4.10%,14.70%,91,0.304,1,10231
Gavin Lux,LAD,102,335,381,81,58,12,4,7,122,43.12,49,46,41,3,83,3,2,0,3,4,1,0.242,0.328,0.364,0.692,0.254,0.717,10.80%,21.80%,91,0.303,1,19955
Paul DeJong,STL,113,356,402,70,40,10,1,19,139,40.87,44,45,35,0,103,9,2,0,6,4,1,0.197,0.284,0.39,0.674,0.301,0.695,8.70%,25.60%,86,0.293,1.6,18015
Isiah Kiner-Falefa,TEX,158,635,677,172,136,25,3,8,227,71.60,74,53,28,2,90,11,2,1,11,20,5,0.271,0.312,0.357,0.67,0.154,0.698,4.10%,13.30%,85,0.293,2.3,16512
Jorge Mateo,- - -,89,194,209,48,32,11,1,4,73,22.53,19,14,9,0,55,4,1,1,1,10,3,0.247,0.293,0.376,0.67,0.211,0.708,4.30%,26.30%,83,0.291,0.5,17273
Harold Castro,DET,106,315,339,89,72,13,1,3,113,34.58,35,37,14,0,72,1,5,4,7,1,1,0.283,0.31,0.359,0.669,0.121,0.689,4.10%,21.20%,83,0.291,0.5,14691
Niko Goodrum,DET,90,290,325,62,40,11,2,9,104,31.25,39,33,29,0,107,4,2,0,6,14,5,0.214,0.292,0.359,0.651,0.276,0.692,8.90%,32.90%,79,0.286,0,12092
Taylor Walls,TBR,54,152,176,32,21,10,0,1,45,15.22,15,15,23,0,49,0,0,1,3,4,2,0.211,0.314,0.296,0.61,0.250,0.650,13.10%,27.80%,80,0.279,0.5,22458
Sergio Alcantara,CHC,89,220,255,45,31,6,3,5,72,24.06,30,17,30,2,74,2,2,1,3,3,0,0.205,0.303,0.327,0.63,0.273,0.668,11.80%,29.00%,71,0.279,0.3,16417
Mauricio Dubon,SFG,74,175,187,42,28,9,0,5,66,17.26,20,22,9,2,41,1,2,0,5,2,1,0.24,0.278,0.377,0.655,0.194,0.673,4.80%,21.90%,75,0.278,-0.1,16530
Andres Gimenez,CLE,68,188,210,41,26,10,0,5,66,21.68,23,16,11,0,54,7,3,1,1,11,0,0.218,0.282,0.351,0.633,0.250,0.697,5.20%,25.70%,73,0.277,0.8,19950
Didi Gregorius,PHI,103,368,408,77,46,16,2,13,136,37.38,35,54,25,1,67,8,7,0,8,3,0,0.209,0.27,0.37,0.639,0.236,0.666,6.10%,16.40%,68,0.275,0,6012
Ronald Torreyes,PHI,112,318,344,77,59,10,1,7,110,30.75,30,41,19,2,41,1,1,5,7,2,1,0.242,0.286,0.346,0.632,0.167,0.651,5.50%,11.90%,68,0.274,0.6,11400
Ha-seong Kim,SDP,117,267,298,54,32,12,2,8,94,26.02,27,34,22,1,71,4,3,2,6,6,1,0.202,0.27,0.352,0.622,0.251,0.658,7.40%,23.80%,70,0.27,0.6,27506
